time,ACB,BCM,BID,BMP,BVH,CII,CTD,CTG,DGC,DHG,DPM,DXG,EIB,FPT,GAS,GEX,GMD,GVR,HAG,HCM,HDB,HNG,HPG,HSG,HT1,KBC,KDC,KDH,LPB,MBB,MSB,MSN,MWG,NT2,NVL,OCB,PDR,PHR,PLX,PNJ,POW,REE,ROS,SAB,SBT,SHB,SSB,SSI,STB,TCB,TCH,TPB,VCB,VCI,VHC,VHM,VIB,VIC,VJC,VNM,VPB,VPI,VRE
2015-09-30,3.08,,,,,,,,,29.13,7.09,5.35,7.8,,,,10.58,,14.8,,,28.4,3.04,5.71,,8.82,,4.91,,2.84,,38.19,6.82,,,,3.42,5.67,,,,,,,,,,,13.6,,,,,,,,,,,,,,
2015-10-31,3.3,,,,,,,,,31.11,7.52,5.92,7.67,,,,13.27,,14.1,,,30.1,3.15,6.51,,10.08,,5.28,,2.73,,38.19,8.28,,,,3.01,5.7,,,,,,,,,,,13.6,,,,,,,,,,,,,,
2015-11-30,3.08,,10.24,30.66,43.63,14.82,,,,28.92,7.18,5.41,6.82,,20.41,1.0,12.01,,12.2,,,31.1,3.05,5.76,13.92,9.1,,5.47,,2.67,,36.13,8.39,10.39,,,3.2,5.67,,,,,,,,,,,11.0,,,,12.89,,10.46,,,,,46.33,,,
2015-12-31,3.14,,10.34,32.91,42.83,14.88,,7.9,8.97,29.13,7.18,5.68,7.28,9.0,17.93,1.08,13.8,,10.4,,,28.8,2.92,5.73,14.41,9.17,,5.65,,2.76,,40.0,8.78,10.32,,,3.16,5.54,,,,,,,,,,6.26,13.1,,,,13.19,,8.73,,,12.34,,47.83,,,
2016-01-31,3.01,,8.43,30.4,41.21,15.44,,7.31,8.76,28.92,7.08,5.44,6.82,8.64,19.42,1.16,13.02,,8.2,,,15.4,2.75,5.2,13.82,8.26,15.44,5.49,,2.73,,37.42,8.05,10.24,,,3.09,5.4,,13.72,,,,,,,,5.78,11.3,,,,12.44,,8.55,,,12.85,,43.34,,,
2016-02-29,3.13,,8.88,32.66,42.02,16.12,,7.56,8.94,39.21,7.03,5.08,6.76,8.9,21.16,1.18,12.83,,8.1,4.51,,8.0,2.79,5.65,14.41,9.17,16.76,5.52,,2.76,,37.16,8.39,10.28,,,3.11,5.44,,13.82,,9.28,,,,,,6.34,11.0,,,,12.32,,8.79,,,11.9,,47.83,,,
2016-03-31,2.9,,8.38,36.42,40.4,16.33,,6.97,7.9,36.8,7.13,4.9,6.82,8.77,21.22,1.3,12.7,,7.8,4.05,,8.0,2.95,6.27,13.87,8.89,16.35,5.99,,2.71,,36.9,8.45,12.88,,,3.54,5.81,,14.67,,9.25,,,,,,5.95,10.3,,,,12.32,,8.22,,,12.74,,50.07,,,
2016-04-30,2.84,,8.78,35.42,49.29,17.09,72.95,7.05,8.04,37.02,7.28,4.57,6.89,9.05,26.39,1.36,13.48,,8.0,4.06,,8.5,3.35,9.12,14.78,9.66,18.3,5.99,,2.86,,36.13,8.39,12.39,,,3.42,6.66,,17.58,,8.94,,,16.26,1.84,,6.03,10.3,,,,13.82,,8.64,,,14.17,,51.94,,,
2016-05-31,2.92,,9.14,36.04,48.48,17.43,76.18,7.56,7.68,34.73,7.14,4.6,8.45,8.92,31.05,1.34,14.04,,7.8,4.53,,8.1,3.38,10.27,15.86,10.29,18.71,6.07,,2.95,,35.87,9.81,13.27,,,3.54,6.56,,19.87,,9.03,,,15.53,1.78,,6.06,11.0,,,,14.03,,10.14,,,14.17,,53.06,,,
2016-06-30,3.01,,8.78,37.85,48.28,18.12,83.54,7.14,9.05,47.06,7.19,4.6,7.47,9.14,32.34,1.46,13.79,,7.3,4.3,,8.1,3.97,12.01,15.7,10.85,20.23,5.96,,2.82,,34.32,14.06,14.58,,,3.28,7.07,,23.54,,8.94,,,15.28,1.72,,5.86,11.3,,,,14.21,,14.15,,,14.82,,53.44,,,
2016-07-31,2.87,,8.83,42.26,48.28,18.36,96.09,7.56,8.99,42.27,7.58,4.66,7.73,8.97,30.27,1.97,13.48,,6.4,4.49,,6.9,4.46,11.46,16.34,12.39,20.88,6.07,,2.84,,33.03,15.31,14.74,,,3.04,6.59,,19.56,,8.99,,,16.07,1.7,,6.46,11.3,,,,16.22,,16.33,,,15.3,,59.89,,,
2016-08-31,2.86,,8.23,42.26,50.74,20.2,105.18,7.39,9.84,44.09,7.53,4.48,7.28,9.6,33.12,2.9,14.45,,6.3,4.16,,7.3,5.09,12.63,14.68,12.46,27.82,6.83,,2.8,,35.61,16.46,15.6,,,3.04,6.28,,21.55,,8.77,,,17.19,1.5,,6.03,10.4,,,,16.22,,17.26,,,14.42,,72.97,,,
2016-09-30,2.9,,8.53,50.24,58.02,20.83,112.37,7.2,12.26,51.18,7.4,4.36,6.69,10.2,36.74,3.0,15.02,,5.25,4.23,,5.6,5.43,12.22,15.05,13.3,28.33,7.41,,2.82,,36.29,15.91,16.61,,,3.05,6.18,,22.92,,9.42,,,15.18,1.3,,6.29,9.32,,,,15.85,,18.28,,,16.35,,65.48,,,
2016-10-31,3.01,,8.38,52.32,52.37,20.13,112.5,7.16,9.84,45.01,7.21,4.52,6.63,9.51,34.39,4.36,13.94,,5.2,4.03,,6.01,4.84,11.65,14.13,12.18,27.24,7.4,,2.84,,33.91,16.57,15.34,,,3.18,7.64,,20.78,,9.27,,,16.74,1.53,,6.21,8.82,,11.53,,14.9,,17.07,,,15.61,,66.42,,,
2016-11-30,3.03,,8.09,50.55,48.12,20.83,99.23,6.84,9.16,44.87,7.07,5.3,6.14,9.48,33.3,4.49,13.94,,5.91,3.86,,6.8,5.0,14.14,14.06,10.01,25.51,7.08,,2.65,,33.09,18.86,13.85,,,3.31,8.59,,21.37,,9.68,,,15.46,1.47,,5.87,7.5,,8.45,,14.57,,14.91,,,15.43,,64.55,,,
2016-12-31,3.06,,7.51,50.01,47.63,20.34,105.28,6.39,8.88,44.78,6.25,4.87,5.85,9.62,32.74,5.04,13.84,,5.35,3.99,,6.2,5.13,14.81,13.22,9.69,27.28,6.98,,2.78,,33.45,17.83,12.18,25.64,,3.21,8.81,,20.62,,10.75,98106.0,72.18,15.59,1.39,,5.78,9.45,,7.58,,14.67,,18.34,,,15.43,,58.75,,,
2017-01-31,4.11,,8.93,50.53,50.0,22.19,111.63,8.21,8.13,50.26,6.75,5.24,6.23,9.86,32.47,6.09,14.51,,5.6,4.11,,7.3,5.03,14.46,12.9,9.55,27.69,6.87,,2.81,,33.42,18.29,12.94,25.86,,3.38,9.97,,21.4,,11.21,112803.0,81.71,15.46,1.45,,5.96,10.2,,7.55,,16.27,,17.92,,1.65,15.43,,60.34,,,
2017-02-28,3.99,,8.7,48.96,48.69,25.44,115.96,8.08,7.68,52.09,6.82,6.43,6.92,10.03,32.57,5.91,17.79,,8.18,4.57,,8.91,4.75,14.02,12.13,10.08,27.84,7.64,,2.89,,33.22,19.1,13.21,28.59,,3.5,9.95,,23.26,,11.62,124318.1,82.18,15.27,1.6,,6.26,10.3,,7.28,,15.48,,14.59,,1.67,16.53,61.64,61.46,,,
2017-03-31,4.27,,9.28,53.86,48.45,27.64,120.8,8.01,8.13,63.24,6.78,8.02,7.57,10.34,29.71,6.69,17.73,,9.15,4.75,,11.6,5.43,14.69,14.45,10.5,31.52,8.84,,3.17,,38.12,19.23,14.06,29.53,,4.32,9.32,,23.51,,12.64,122727.2,73.02,15.72,1.72,,7.04,11.45,,7.87,,15.27,,17.2,,1.77,15.36,73.11,67.03,,,
2017-04-30,4.04,,8.77,48.96,46.89,28.0,117.69,7.68,6.53,66.25,6.57,8.43,7.28,10.16,30.35,7.06,17.86,,8.65,4.72,,11.7,5.23,14.35,14.26,10.39,29.72,8.72,,3.26,,36.01,19.09,13.39,30.17,,6.21,8.85,32.82,27.26,,12.89,100000.0,72.98,17.37,2.27,,6.46,11.55,,9.3,,14.53,,16.81,,2.02,15.02,72.89,69.23,,,
2017-05-31,4.35,,9.75,47.29,47.14,28.59,123.46,8.32,6.72,75.19,6.72,7.71,7.73,11.02,30.41,7.46,20.5,,8.7,6.21,,10.9,5.41,17.02,12.9,11.06,31.85,9.7,,3.89,,35.0,21.55,13.01,28.59,,6.31,11.83,43.06,29.72,,14.65,67045.4,69.04,19.12,2.17,,7.32,12.5,,9.55,,14.98,,17.86,,2.25,14.79,73.28,70.64,,,
2017-06-30,4.51,,10.78,46.76,47.05,27.27,124.9,8.96,6.93,86.54,6.86,7.77,8.38,12.01,32.39,8.54,22.04,,9.48,6.76,,10.75,6.06,16.81,14.58,11.79,34.89,9.72,,4.6,,34.03,23.72,13.44,29.02,,7.5,12.86,48.55,31.75,,17.08,76250.0,76.05,22.31,2.3,,8.16,13.8,,8.61,,15.94,,18.72,,2.29,15.69,72.42,74.37,,,
2017-07-31,4.53,,11.74,37.55,48.36,23.83,120.17,9.03,6.85,81.04,6.74,8.58,7.54,12.39,34.78,8.42,20.76,,9.41,6.64,,10.35,6.12,14.53,12.16,10.25,34.6,9.77,,4.91,,34.67,23.16,13.48,28.8,,7.38,14.27,46.05,32.4,,17.22,92500.0,86.49,25.74,2.51,,7.76,13.1,,7.99,,15.63,7.59,16.43,,2.32,16.35,72.02,72.01,,,
2017-08-31,5.04,,11.29,34.95,44.72,25.59,123.17,8.43,7.45,75.82,6.83,9.17,7.9,12.69,34.78,8.45,21.84,,8.49,5.84,,9.29,6.64,15.49,9.51,10.57,31.65,9.77,,4.9,,38.48,25.21,12.19,25.69,,7.56,15.19,48.98,33.65,,16.27,89250.0,91.64,20.46,2.39,,7.39,11.7,,7.59,,15.36,7.36,15.55,,2.16,18.0,72.25,70.73,7.31,,
2017-09-30,5.37,,10.69,36.6,45.63,23.46,122.58,8.47,7.34,74.81,6.64,9.44,8.12,12.76,38.96,9.56,22.42,,8.4,6.2,,9.7,7.37,14.84,10.11,10.22,32.66,9.91,,4.71,,44.64,26.8,12.5,26.24,,8.2,15.48,46.27,35.62,,16.25,166666.6,94.92,16.55,2.42,,7.39,12.5,,7.5,,15.9,7.43,16.18,,2.47,18.81,87.63,71.11,7.55,,
2017-10-31,5.37,,11.92,34.9,41.48,23.39,128.47,8.59,7.02,70.46,6.22,8.42,7.41,13.19,40.31,9.61,20.76,,8.02,6.09,,9.35,7.01,12.01,8.94,8.99,28.81,10.71,2.86,4.89,,48.2,29.62,14.61,25.99,,8.5,15.08,44.87,33.68,,15.83,148083.3,104.27,13.17,2.36,,6.93,11.0,,7.24,,17.51,7.79,14.88,,2.73,21.49,91.36,71.97,8.19,,
2017-11-30,6.12,,13.99,45.91,49.69,24.16,133.95,11.13,7.12,75.16,6.28,9.29,8.09,15.28,45.45,11.1,21.94,,7.73,7.83,,9.31,7.81,12.35,11.35,9.66,29.94,12.18,3.39,5.54,,54.36,31.11,15.71,26.28,,9.57,15.7,45.46,39.0,,18.43,151416.6,120.11,12.86,2.84,,8.25,13.1,,8.78,,20.51,8.87,16.94,,2.84,27.37,109.34,88.98,8.29,20.88,38.83
2017-12-31,6.48,,13.91,40.93,54.17,25.73,133.48,11.08,7.02,81.73,6.56,10.16,8.22,14.94,55.54,11.91,20.58,,7.35,9.1,,9.56,8.88,12.71,10.7,9.38,30.72,11.31,3.5,5.5,,62.14,30.19,16.35,27.78,,9.6,15.98,54.99,43.15,,19.21,145333.3,91.02,13.24,2.81,,8.83,12.85,,9.88,,22.96,9.7,16.91,,2.95,28.4,118.89,99.91,8.26,19.75,37.37
2018-01-31,7.32,,18.66,40.65,68.03,27.49,118.45,12.46,6.98,70.71,7.44,14.38,10.07,16.46,71.05,14.75,22.5,,8.2,12.32,8.9,8.69,11.81,13.54,11.14,9.83,34.6,14.24,5.49,7.04,,74.61,28.92,16.15,34.26,,10.61,17.44,64.89,46.93,,19.75,114333.3,91.12,13.02,4.21,,10.45,16.25,,10.04,,28.16,11.2,17.61,,3.91,31.59,156.58,97.46,10.74,19.49,43.91
2018-02-28,8.25,19.42,21.27,44.85,69.44,26.17,106.67,15.39,7.0,74.13,7.17,15.7,10.07,15.65,64.95,14.72,21.32,,6.22,12.2,8.48,6.2,12.51,12.61,10.83,9.06,33.28,14.24,5.28,7.59,,72.26,28.58,15.47,36.61,,9.55,17.66,65.92,52.5,,18.55,112500.0,86.77,11.39,4.24,,11.31,16.1,,9.29,,31.21,10.72,16.34,,4.25,34.86,162.26,93.87,12.0,19.75,42.64
2018-03-31,9.01,22.39,23.67,32.9,78.4,22.69,93.05,15.85,7.12,78.89,6.71,17.16,9.1,15.88,74.93,16.86,19.42,10.63,6.61,12.18,8.77,8.85,11.45,12.09,10.14,9.38,29.78,14.96,5.17,7.66,,91.95,26.0,15.03,38.53,,10.97,17.03,61.37,64.88,13.1,18.16,71666.6,88.76,11.2,4.18,,11.96,15.5,,9.67,,29.81,13.43,23.02,,5.36,43.06,181.65,97.22,12.99,20.53,40.58
2018-04-30,8.18,22.48,19.69,25.49,76.33,23.09,79.56,13.42,7.48,71.39,5.83,15.51,9.81,14.92,63.58,17.12,16.73,8.73,5.3,10.9,8.18,8.7,10.2,8.88,9.08,9.34,28.38,15.07,5.17,6.6,,74.37,23.73,15.37,34.24,,10.7,15.04,45.24,53.86,10.74,17.29,60700.0,78.58,11.52,3.69,,11.04,13.85,,12.52,6.69,25.37,11.57,19.54,,4.62,46.29,151.71,88.6,10.78,22.14,36.69
2018-05-31,7.72,21.13,15.96,31.63,71.76,20.67,83.68,12.41,7.07,74.6,5.06,16.36,9.39,14.21,51.55,15.21,16.13,7.69,4.46,9.99,7.45,7.5,10.63,6.39,8.29,8.85,26.32,13.68,4.21,6.42,,65.62,24.71,14.76,28.4,,9.7,15.74,45.46,52.65,11.05,15.87,43000.0,88.54,9.39,3.01,,9.81,11.75,,13.03,6.2,22.88,11.07,17.37,67.1,3.72,42.62,121.3,78.64,9.06,22.2,34.08
2018-06-30,6.87,17.08,14.18,29.19,67.45,19.39,89.81,11.11,7.23,72.81,5.55,14.44,9.42,12.82,51.61,15.63,15.82,7.69,5.21,8.88,7.16,10.2,10.19,7.3,7.91,8.4,25.97,12.8,3.86,5.78,,64.0,26.52,15.15,28.4,,9.89,13.49,45.02,41.16,10.34,15.37,42600.0,83.19,9.86,2.65,,8.74,11.55,14.44,10.16,6.09,24.53,10.26,19.31,65.53,3.57,47.77,138.63,81.89,9.35,22.66,30.75
2018-07-31,6.91,15.91,14.35,28.39,64.79,18.47,89.52,10.81,7.96,72.4,5.95,13.83,9.13,13.22,51.2,15.77,16.61,6.92,7.62,8.82,7.05,17.25,9.91,6.79,8.25,8.4,26.32,12.42,3.41,6.16,,68.21,27.17,15.61,34.52,,8.51,16.08,46.56,45.65,10.34,17.0,41200.0,75.81,10.63,2.62,,8.86,11.45,13.13,12.94,5.65,24.74,9.69,23.09,64.3,3.61,47.28,141.17,81.02,8.83,21.91,32.18
2018-08-31,7.55,13.4,18.77,27.99,77.74,19.43,100.74,12.43,9.5,66.56,5.66,15.11,9.13,13.97,61.27,16.66,16.7,6.92,6.79,9.61,7.56,17.9,10.6,6.51,8.77,8.5,24.64,13.21,3.21,6.22,,76.96,27.92,15.26,36.19,,8.22,16.37,52.18,49.31,11.13,17.24,40300.0,83.37,12.09,2.75,,9.69,11.35,12.42,13.19,5.96,26.43,10.75,25.33,60.63,3.69,45.95,152.51,75.48,8.44,21.96,31.19
2018-09-30,7.57,17.71,19.2,31.63,82.36,19.9,101.04,12.62,9.91,72.11,6.26,16.01,9.2,14.64,68.83,16.51,17.98,7.18,6.13,10.75,7.69,17.15,11.22,7.63,10.32,8.92,23.46,14.94,3.59,6.07,,75.18,29.59,16.01,37.03,,8.86,17.25,54.64,50.46,13.18,17.77,38150.0,82.08,13.49,2.95,,10.27,13.5,13.77,11.7,5.8,26.64,11.02,31.28,61.8,3.9,43.68,150.18,80.4,8.73,22.17,33.21
2018-10-31,6.73,18.43,16.09,28.39,82.44,17.41,88.63,10.72,10.71,60.57,6.06,12.93,8.9,13.26,61.87,14.65,18.35,8.21,5.08,8.54,6.5,14.2,10.68,5.57,9.23,8.5,21.13,14.15,3.24,5.75,,67.24,26.24,14.97,39.59,,8.51,18.48,45.79,46.39,10.97,15.17,36000.0,82.64,13.17,2.49,,9.05,12.5,12.71,9.88,5.73,23.81,8.89,30.92,48.38,3.59,43.2,132.54,67.99,6.97,22.04,28.95
2018-11-30,6.61,19.33,17.13,27.49,80.51,19.28,94.65,10.53,11.41,59.13,6.97,12.9,8.84,13.56,54.01,14.53,18.52,8.04,5.15,8.6,5.94,16.7,8.81,3.99,10.1,8.92,19.87,13.21,3.28,5.66,,64.81,26.21,15.43,37.92,,8.54,20.42,44.64,44.05,11.68,15.32,38700.0,93.63,13.43,2.43,,9.01,12.15,12.31,9.97,5.57,23.73,8.36,33.55,56.68,3.57,45.2,129.86,74.95,6.78,22.09,29.82
2018-12-31,6.57,21.76,18.77,26.9,74.8,19.28,97.39,8.84,10.46,56.97,7.19,12.66,9.13,13.34,51.52,12.72,17.48,8.9,4.88,7.38,6.0,16.0,8.21,3.93,10.37,9.24,19.75,14.5,3.31,5.11,,62.79,26.99,15.5,35.75,,8.22,22.76,40.79,44.95,12.63,14.84,31450.0,100.18,13.5,2.33,,8.42,11.95,12.21,8.64,5.66,22.92,7.92,31.88,53.48,3.36,42.35,118.96,70.84,6.5,22.01,27.1
2019-01-31,6.53,20.68,17.18,23.53,77.49,16.86,82.05,9.02,9.54,61.29,7.32,12.32,10.85,13.66,52.23,12.41,17.25,8.65,5.0,7.15,6.04,14.3,7.35,3.98,11.85,9.91,16.32,13.23,3.09,5.75,,62.95,25.75,18.4,31.52,,8.3,24.16,41.48,45.82,12.99,16.23,34650.0,87.26,13.67,2.33,,8.25,12.3,12.52,9.1,5.9,24.33,6.25,30.77,58.29,3.3,46.17,122.43,79.7,6.58,21.6,28.36
2019-02-28,6.59,22.92,17.73,27.11,79.0,17.59,81.44,9.53,10.0,85.45,6.74,13.03,11.34,13.97,58.42,14.16,18.38,8.47,5.52,8.82,5.94,15.6,8.91,5.25,12.0,10.22,16.73,13.54,3.24,5.65,,72.02,26.92,18.3,32.02,,8.41,29.94,43.48,46.5,12.71,16.77,32000.0,89.88,13.57,2.4,,8.82,12.3,12.52,11.87,5.89,25.91,7.62,31.88,63.75,3.53,50.66,117.96,83.3,6.74,21.05,32.05
